Authors,Pub.Year,Journal,Vol:p-p,StudyID,Species,Year/Year Span,Year,Population,Trait Name,Fitness Measure Defined,N,Grad.linear.value,Grad.linear.StErr,Diff.linear.value,Diff.linear.StErr,Mean.trait.value,Trait.StDev,trait.StErr,trait.Var
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,front lip length,male fitness (pollinaria removal),28,-0.004,,0.075,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,frontlip width,male fitness (pollinaria removal),28,0.066,,0.204,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,mid lobe length,male fitness (pollinaria removal),25,-0.243,,0.014,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,length of the opening of the area where the pollinaria is inserted,male fitness (pollinaria removal),27,0.297,,0.065,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,distance between sepals,male fitness (pollinaria removal),26,0.052,,0.043,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1993-1996,1993,Population 1,flower size,male fitness (pollinaria removal),32,-0.034,,0.016,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,length of column,male fitness (pollinaria removal),32,0.118,,-0.002,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,width of sepal dorsal,male fitness (pollinaria removal),33,-0.114,,0.112,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,length of posterior petal lobe,male fitness (pollinaria removal),32,-0.062,,0.011,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,width of posterior petal lobe,male fitness (pollinaria removal),32,0.194,,0.068,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,length of anterior petal lobe,male fitness (pollinaria removal),33,-0.053,,0.121,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,width of anterior petal lobe,male fitness (pollinaria removal),33,0.254,,0.182,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,front lip length,male fitness (pollinaria removal),32,-0.094,,0.04,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,frontlip width,male fitness (pollinaria removal),32,0.073,,-0.187,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,mid lobe length,male fitness (pollinaria removal),29,0.106,,0.076,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,length of the opening of the area where the pollinaria is inserted,male fitness (pollinaria removal),32,-0.351,,0.058,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,distance between sepals,male fitness (pollinaria removal),31,0.018,,0.004,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 2,flower size,male fitness (pollinaria removal),34,0.242,,0.115,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,length of column,male fitness (pollinaria removal),21,0.132,,0.08,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,width of sepal dorsal,male fitness (pollinaria removal),15,0.334,,0.073,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,length of posterior petal lobe,male fitness (pollinaria removal),15,-0.186,,0.053,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,width of posterior petal lobe,male fitness (pollinaria removal),15,-0.571,,0.04,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,length of anterior petal lobe,male fitness (pollinaria removal),15,0.301,,-0.068,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,width of anterior petal lobe,male fitness (pollinaria removal),15,0.411,,0.099,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,front lip length,male fitness (pollinaria removal),15,0.167,,0.042,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,frontlip width,male fitness (pollinaria removal),15,0.93,,0.04,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,mid lobe length,male fitness (pollinaria removal),15,0.129,,-0.058,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,length of the opening of the area where the pollinaria is inserted,male fitness (pollinaria removal),15,1.234,,0.198,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,distance between sepals,male fitness (pollinaria removal),15,0.028,,-0.002,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 3,flower size,male fitness (pollinaria removal),21,-0.201,,0.029,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,length of column,male fitness (pollinaria removal),30,0.135,,0.01,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,width of sepal dorsal,male fitness (pollinaria removal),30,-0.005,,0.044,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,length of posterior petal lobe,male fitness (pollinaria removal),30,0.089,,0.106,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,width of posterior petal lobe,male fitness (pollinaria removal),30,-0.019,,0.038,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,length of anterior petal lobe,male fitness (pollinaria removal),30,0.196,,0.103,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,width of anterior petal lobe,male fitness (pollinaria removal),30,0.096,,0.126,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,front lip length,male fitness (pollinaria removal),30,-0.021,,0.055,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,frontlip width,male fitness (pollinaria removal),30,-0.388,,-0.162,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,mid lobe length,male fitness (pollinaria removal),28,0.087,,0.031,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,length of the opening of the area where the pollinaria is inserted,male fitness (pollinaria removal),30,0.633,,0.332,,,,,
Cintron-Berdecia and Tremblay,2006,Folia Geobotanica,41(1): 33-46,29,Lepanthes rupestris,1994-1996,1994,Population 4,distance between sepals,male fitness (pollinaria removal),30,-0.007,,0.025,,,,,
